Timestamp,VX,VY,VZ,ADX,ADY,ADZ,TEMP,DX,DY,DZ,HZX,HZY,HZZ
41269,0,0,0,0,0,0,22.66,0,0,0,0,0,0
41329,0,0,0,0,0,0,22.85,0,0,0,0,0,0
41479,0,0,0,0,0,0,22.72,0,0,0,0,0,0
41541,0,0,0,0,0,0,22.98,0,0,0,0,0,0
41674,0,0,0,0,0,0,22.72,0,0,0,0,0,0
41734,0,0,0,0,0,0,22.98,0,0,0,0,0,0
41884,0,0,0,0,0,0,22.79,0,0,0,0,0,0
41944,0,0,0,0,0,0,22.72,0,0,0,0,0,0
42094,0,0,0,0,0,0,22.79,0,0,0,0,0,0
42139,0,0,0,0,0,0,22.85,0,0,0,0,0,0
42290,0,0,0,0,0,0,23.10,0,0,0,0,0,0
42334,0,0,0,0,0,0,22.72,0,0,0,0,0,0
42454,0,0,0,0,0,0,23.17,0,0,0,0,0,0
42544,0,0,0,0,0,0,22.91,0,0,0,0,0,0
42666,0,0,0,0,0,0,22.91,0,0,0,0,0,0
42739,0,0,0,0,0,0,22.91,0,0,0,0,0,0
42859,0,0,0,0,0,0,22.85,0,0,0,0,0,0
42949,0,0,0,0,0,0,22.85,0,0,0,0,0,0
43069,0,0,0,0,0,0,22.98,0,0,0,0,0,0
43144,0,0,0,0,0,0,22.98,0,0,0,0,0,0
43264,0,0,0,0,0,0,22.79,0,0,0,0,0,0
43354,0,0,0,0,0,0,22.79,0,0,0,0,0,0
43474,0,0,0,0,0,0,22.79,0,0,0,0,0,0
43549,0,0,0,0,0,0,22.91,0,0,0,0,0,0
43669,0,0,0,0,0,0,22.91,0,0,0,0,0,0
43744,0,0,0,0,0,0,22.79,0,0,0,0,0,0
43864,0,0,0,0,0,0,22.79,0,0,0,0,0,0
43955,0,0,0,0,0,0,22.79,0,0,0,0,0,0
44074,0,0,0,0,0,0,22.79,0,0,0,0,0,0
44164,0,0,0,0,0,0,22.85,0,0,0,0,0,0
44269,0,0,0,0,0,0,22.79,0,0,0,0,0,0
44359,0,0,0,0,0,0,22.85,0,0,0,0,0,0
44479,0,0,0,0,0,0,22.72,0,0,0,0,0,0
44556,0,0,0,0,0,0,22.72,0,0,0,0,0,0
44674,0,0,0,0,0,0,23.10,0,0,0,0,0,0
44749,0,0,0,0,0,0,22.79,0,0,0,0,0,0
44884,0,0,0,0,0,0,22.91,0,0,0,0,0,0
44959,0,0,0,0,0,0,22.79,0,0,0,0,0,0
45079,0,0,0,0,0,0,22.91,0,0,0,0,0,0
45154,0,0,0,0,0,0,22.66,0,0,0,0,0,0
45289,0,0,0,0,0,0,22.85,0,0,0,0,0,0
45364,0,0,0,0,0,0,22.79,0,0,0,0,0,0
45484,0,0,0,0,0,0,22.85,0,0,0,0,0,0
45574,0,0,0,0,0,0,22.91,0,0,0,0,0,0
45682,0,0,0,0,0,0,22.47,0,0,0,0,0,0
45769,0,0,0,0,0,0,22.85,0,0,0,0,0,0
45904,0,0,0,0,0,0,22.85,0,0,0,0,0,0
45979,0,0,0,0,0,0,22.79,0,0,0,0,0,0
46084,0,0,0,0,0,0,22.79,0,0,0,0,0,0
46189,0,0,0,0,0,0,22.98,0,0,0,0,0,0
46294,0,0,0,0,0,0,22.79,0,0,0,0,0,0
46384,0,0,0,0,0,0,22.98,0,0,0,0,0,0
46490,0,0,0,0,0,0,22.79,0,0,0,0,0,0
46595,0,0,0,0,0,0,22.91,0,0,0,0,0,0
46700,0,0,0,0,0,0,22.79,0,0,0,0,0,0
46805,0,0,0,0,0,0,22.85,0,0,0,0,0,0
46911,0,0,0,0,0,0,22.79,0,0,0,0,0,0
47000,0,0,0,0,0,0,22.85,0,0,0,0,0,0
47105,0,0,0,0,0,0,22.79,0,0,0,0,0,0
47210,0,0,0,0,0,0,22.60,0,0,0,0,0,0
47315,0,0,0,0,0,0,22.91,0,0,0,0,0,0
47378,0,0,0,0,0,0,22.79,0,0,0,0,0,0
47510,0,0,0,0,0,0,22.85,0,0,0,0,0,0
47570,0,0,0,0,0,0,22.85,0,0,0,0,0,0
47720,0,0,0,0,0,0,22.79,0,0,0,0,0,0
47780,0,0,0,0,0,0,22.98,0,0,0,0,0,0
47930,0,0,0,0,0,0,22.91,0,0,0,0,0,0
47975,0,0,0,0,0,0,22.79,0,0,0,0,0,0
48125,0,0,0,0,0,0,22.91,0,0,0,0,0,0
48185,0,0,0,0,0,0,22.79,0,0,0,0,0,0
48335,0,0,0,0,0,0,22.79,0,0,0,0,0,0
48380,0,0,0,0,0,0,22.85,0,0,0,0,0,0
48500,0,0,0,0,0,0,22.91,0,0,0,0,0,0
48590,0,0,0,0,0,0,22.98,0,0,0,0,0,0
48740,0,0,0,0,0,0,22.98,0,0,0,0,0,0
48785,0,0,0,0,0,0,22.60,0,0,0,0,0,0
48905,0,0,0,0,0,0,22.85,0,0,0,0,0,0
48980,0,0,0,0,0,0,22.79,0,0,0,0,0,0
49101,0,0,0,0,0,0,22.66,0,0,0,0,0,0
49190,0,0,0,0,0,0,23.10,0,0,0,0,0,0
49310,0,0,0,0,0,0,22.79,0,0,0,0,0,0
49385,0,0,0,0,0,0,22.79,0,0,0,0,0,0
49505,0,0,0,0,0,0,22.79,0,0,0,0,0,0
49595,0,0,0,0,0,0,23.10,0,0,0,0,0,0
49715,0,0,0,0,0,0,22.98,0,0,0,0,0,0
49790,0,0,0,0,0,0,22.79,0,0,0,0,0,0
49910,0,0,0,0,0,0,22.98,0,0,0,0,0,0
50000,0,0,0,0,0,0,22.79,0,0,0,0,0,0
50120,0,0,0,0,0,0,22.66,0,0,0,0,0,0
50195,0,0,0,0,0,0,22.79,0,0,0,0,0,0
50315,0,0,0,0,0,0,22.98,0,0,0,0,0,0
50390,0,0,0,0,0,0,22.60,0,0,0,0,0,0
50510,0,0,0,0,0,0,23.17,0,0,0,0,0,0
50615,0,0,0,0,0,0,23.23,0,0,0,0,0,0
50720,0,0,0,0,0,0,22.79,0,0,0,0,0,0
50796,0,0,0,0,0,0,22.98,0,0,0,0,0,0
50915,0,0,0,0,0,0,22.79,0,0,0,0,0,0
51005,0,0,0,0,0,0,22.79,0,0,0,0,0,0
51125,0,0,0,0,0,0,22.85,0,0,0,0,0,0
51200,0,0,0,0,0,0,22.79,0,0,0,0,0,0
51320,0,0,0,0,0,0,22.98,0,0,0,0,0,0
51410,0,0,0,0,0,0,22.66,0,0,0,0,0,0
51530,0,0,0,0,0,0,22.91,0,0,0,0,0,0
51621,0,0,0,0,0,0,22.91,0,0,0,0,0,0
51740,0,0,0,0,0,0,22.98,0,0,0,0,0,0
51815,0,0,0,0,0,0,22.79,0,0,0,0,0,0
51920,0,0,0,0,0,0,22.79,0,0,0,0,0,0
52025,0,0,0,0,0,0,22.85,0,0,0,0,0,0
52130,0,0,0,0,0,0,22.72,0,0,0,0,0,0
52220,0,0,0,0,0,0,22.85,0,0,0,0,0,0
52325,0,0,0,0,0,0,22.91,0,0,0,0,0,0
52430,0,0,0,0,0,0,22.79,0,0,0,0,0,0
52536,0,0,0,0,0,0,22.98,0,0,0,0,0,0
52640,0,0,0,0,0,0,23.10,0,0,0,0,0,0
52745,0,0,0,0,0,0,22.85,0,0,0,0,0,0
52835,0,0,0,0,0,0,22.85,0,0,0,0,0,0
52940,0,0,0,0,0,0,22.79,0,0,0,0,0,0
53045,0,0,0,0,0,0,22.98,0,0,0,0,0,0
53150,0,0,0,0,0,0,22.98,0,0,0,0,0,0
53210,0,0,0,0,0,0,22.85,0,0,0,0,0,0
53360,0,0,0,0,0,0,22.72,0,0,0,0,0,0
53450,0,0,0,0,0,0,22.66,0,0,0,0,0,0
53555,0,0,0,0,0,0,22.85,0,0,0,0,0,0
53615,0,0,0,0,0,0,22.85,0,0,0,0,0,0
53765,0,0,0,0,0,0,22.98,0,0,0,0,0,0
53825,0,0,0,0,0,0,22.91,0,0,0,0,0,0
53977,0,0,0,0,0,0,22.79,0,0,0,0,0,0
54020,0,0,0,0,0,0,22.66,0,0,0,0,0,0
54170,0,0,0,0,0,0,22.79,0,0,0,0,0,0
54231,0,0,0,0,0,0,22.91,0,0,0,0,0,0
54380,0,0,0,0,0,0,22.79,0,0,0,0,0,0
54425,0,0,0,0,0,0,22.85,0,0,0,0,0,0
54575,0,0,0,0,0,0,22.79,0,0,0,0,0,0
54620,0,0,0,0,0,0,22.85,0,0,0,0,0,0
54740,0,0,0,0,0,0,22.85,0,0,0,0,0,0
54830,0,0,0,0,0,0,22.66,0,0,0,0,0,0
54950,0,0,0,0,0,0,22.85,0,0,0,0,0,0
55025,0,0,0,0,0,0,22.79,0,0,0,0,0,0
55145,0,0,0,0,0,0,23.17,0,0,0,0,0,0
55235,0,0,0,0,0,0,22.91,0,0,0,0,0,0
55355,0,0,0,0,0,0,22.79,0,0,0,0,0,0
55430,0,0,0,0,0,0,22.98,0,0,0,0,0,0
55550,0,0,0,0,0,0,23.10,0,0,0,0,0,0
